fishid,mean_ED,sd_ED,percent_DM,date,fishspp,tl,ww,sex,ploidy,gonww,age,maturity,goncond,mercury,month,yday
NAR032019004,10.409814996591686,0.15041488251722085,0.3875255623721882,2019-03-20,WAL,527,1263,F,2N,134.5,9,1,3,0.855,3,79
NAR032119004,7.304458823529413,NaN,0.27450980392156865,2019-03-21,WAL,466,893,F,2N,0.8,9,1,2,0.467,3,80
NAR032419003,8.927609511456984,0.0593221030845639,0.34760051880674453,2019-03-24,WAL,532,1265,F,2N,119.2,10,1,3,0.606,3,83
NAR032419006,11.66776923076923,0.10791832546149956,0.4615384615384615,2019-03-24,WAL,375,398,F,3N,1.4,5,0,1,0.281,3,83
NAR032419008,0.7626375838926175,NaN,0.03355704697986577,2019-03-24,WAL,449,870,F,3N,3.2,8,0,1,0.46,3,83
NAR032619001,4.439917763157895,0.02036202145784463,0.16447368421052633,2019-03-26,WAL,471,944,F,3N,6.9,8,1,2,0.297,3,85
NAR032619006,3.096898648648648,0.02989915024773909,0.13513513513513511,2019-03-26,WAL,487,1012,F,3N,2.6,6,1,2,0.392,3,85
NAR032619013,4.499873529411765,0.09314052116305727,0.19117647058823528,2019-03-26,WAL,489,956,F,3N,1.3,6,0,1,0.388,3,85
NAR032619014,11.044148681903382,0.09242599129603948,0.40803555233085437,2019-03-26,WAL,554,1596,F,2N,238.1,9,1,3,0.493,3,85
NAR032619016,2.4642717391304343,0.03091286384708999,0.10869565217391304,2019-03-26,WAL,397,496,F,3N,2.7,4,1,2,0.323,3,85
NAR032719004,2.518131506849315,0.08639488770902815,0.10958904109589042,2019-03-27,WAL,385,423,F,3N,1.6,4,NA,2,0.251,3,86
NAR032819001,9.188667151464783,0.0517320078579563,0.3468730521504259,2019-03-28,WAL,537,1446,F,2N,178.4,8,1,3,0.801,3,87
NAR032819003,10.026171148616973,0.20818188271507385,0.3760900140646976,2019-03-28,WAL,607,2382,F,2N,42.6,19,1,3,0.773,3,87
NAR032919001,2.8655565891472867,0.03491463064686702,0.12403100775193798,2019-03-29,WAL,482,983,F,3N,3,7,1,2,0.332,3,88
NAR032919007,3.703945945945946,NaN,0.1891891891891892,2019-03-29,WAL,372,376,F,2N,0.8,3,0,1,0.209,3,88
NAR032919009,3.462753125,0.01977512501935858,0.1625,2019-03-29,WAL,482,900,F,3N,1.8,6,1,2,0.513,3,88
NAR032919014,11.292608356241319,0.6685790316478244,0.3989536224173096,2019-03-29,WAL,536,1460,F,2N,221.9,13,1,3,0.819,3,88
NAR032919024,8.818478760313948,0.11505459851968311,0.3301267860736567,2019-03-29,WAL,680,3220,F,2N,453.8,19,1,3,0.95,3,88
NAR033019002,10.42878151810452,0.09329075661523963,0.3893665806821439,2019-03-30,WAL,488,1063,F,2N,139.2,6,1,3,0.469,3,89
NAR033019003,4.49625974025974,0.0599784125864232,0.1948051948051948,2019-03-30,WAL,459,800,F,2N,3,5,0,1,0.406,3,89
NAR033019004,11.21570682236237,0.0607860730695922,0.41397319668900273,2019-03-30,WAL,547,1501,F,2N,176.1,9,1,3,0.568,3,89
NAR033019006,3.8357606837606837,0.029710203107029504,0.1641025641025641,2019-03-30,WAL,483,1058,F,3N,3.9,6,0,1,0.332,3,89
NAR033019010,1.9610454545454545,0.05897270555095801,0.09090909090909091,2019-03-30,WAL,381,456,F,3N,1.9,4,0,1,0.28,3,89
NAR033019013,9.132166118264188,0.10387552206602806,0.34740104911778735,2019-03-30,WAL,512,1043,F,2N,87.5,7,1,3,0.576,3,89
NAR033019015,3.3268810283687946,0.07941009944118364,0.15425531914893617,2019-03-30,WAL,493,950,F,2N,4.3,6,0,1,0.5,3,89
NAR033019016,3.5604119791666666,0.04897630548273935,0.1484375,2019-03-30,WAL,470,849,F,3N,2.3,7,0,1,0.354,3,89
