standard,corrected_gross_heat
BA012220-001,26.1361
BA012220-002,26.1645
BA012320-001,26.1861
BA012320-002,26.2306
BA012420-001,26.185
BA012420-002,26.2027
BA012820-001,26.2883
BA012820-002,26.2069
BA012920-001,26.173
BA012920-002,26.1784
BA013020-001,26.3309
BA013020-002,26.276
BA013120-001,26.2539
BA013120-002,26.1014
BA020720-001,26.248
BA020720-002,26.236
BA021420-001,26.2147
BA021420-002,26.1927
BA021720-001,26.2242
BA021820-001,26.2631
BA021820-002,26.1535
BA021920-001,26.069
BA021920-002,26.1988
BA022020-001,26.2903
BA022020-002,26.0565
BA060420001,26.2805
BA060420002,26.4385
BA060520001,26.6529
BA060520002,26.5184
BA060820001,26.2365
BA060820002,26.3109
BA060920001,26.1741
BA060920002,26.1275
BA061020001,26.2148
BA061020002,26.3037
BA061120001,26.2998
BA061120002,26.2466
