gearid,waterbody,crew1,crew2,crew3,crew4,crew5,nettype,datetime_set,datetime_lift,time_zone,netduration,utmzone,utmx1,utmy1,utmx2,utmy2,temp,netdepth1,netdepth2,setdirection,meshsizeonshore,habitat,description
GNNAR03162001,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/15/2020 19:00,3/16/20 8:31,US/Mountain,,12S,709767,4151199,709510,4151194,5.24,1,11.5,perpendicular,large,riprap,
GNNAR03162002,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/15/2020 19:04,3/16/2020 9:13,US/Mountain,,12S,709649,4151152,709694,4151182,4.97,1,4.5,perpendicular,large,riprap,
GNNAR03162003,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/15/2020 19:06,3/16/2020 9:28,US/Mountain,,12S,,,,,4.87,1,13.2,perpendicular,small,riprap,
GNNAR03162004,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/15/2020 19:09,3/16/2020 9:37,US/Mountain,,12S,,,,,4.75,1,8.8,perpendicular,large,riprap,
GNNAR03162005,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/15/2020 19:13,3/16/2020 9:52,US/Mountain,,12S,709255,4151813,709285,4151844,4.68,1,3.5,perpendicular,small,riprap,
GNNAR03162006,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/15/2020 19:17,3/16/2020 10:01,US/Mountain,,12S,709470,4151965,709512,4151917,4.77,1,7.1,perpendicular,large,mud,
GNNAR03162007,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/15/20 19:20,3/16/2020 10:19,US/Mountain,,12S,709403,4151400,709457,4151402,4.86,1,5.4,perpendicular,small,riprap,
GNNAR03162008,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/15/2020 19:26,3/16/2020 10:33,US/Mountain,,12S,709357,4151462,709355,4151516,4.85,1,8,perpendicular,small,riprap,
GNNAR03162001,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/16/2020 16:18,,US/Mountain,,12S,709733,4151143,709732,4151195,7.17,1,14,perpendicular,small,riprap,
GNNAR03162002,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/16/2020 16:22,,US/Mountain,,12S,709677,4151123,709656,4151174,6.29,1,15.8,perpendicular,small,riprap,
GNNAR03162003,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/16/2020 16:25,,US/Mountain,,12S,709568,4151073,709553,4151122,5.85,1,12.7,perpendicular,small,riprap,
GNNAR03162004,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/16/2020 16:29,,US/Mountain,,12S,709207,4151165,709269,4151142,5.3,1,5.3,perpendicular,small,riprap,
GNNAR03162005,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/16/2020 16:33,,US/Mountain,,12S,709638,4151456,709680,4151443,5.7,1,11.2,perpendicular,small,cobble,
GNNAR03162006,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/16/2020 16:37,,US/Mountain,,12S,709207,4151858,709304,4151846,5.5,1,4,perpendicular,small,riprap,
GNNAR03162007,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/16/2020 16:42,,US/Mountain,,12S,710380,4151471,710364,4151528,5.45,1,7.6,perpendicular,small,riprap,
GNNAR03162008,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/16/2020 16:45,,US/Mountain,,12S,710299,4151416,710277,4151479,5.53,1,8.7,perpendicular,small,riprap,
