limnoid,depth,do,temp
ANX040819L,0,8.57,13.5
ANX040819L,1,8.6,13.5
ANX040819L,2,8.65,13.4
ANX040819L,3,8.66,13.4
ANX040819L,4,8.67,13.4
ANX052919L,0,7.39,15.4
ANX052919L,1,7.43,15.5
ANX052919L,2,7.39,15.6
ANX052919L,3,7.33,15.4
ANX052919L,4,7.29,15.3
ANX062019L,0,7.6,23.2
ANX062019L,1,7.62,23.1
ANX062019L,2,7.12,22.4
ANX062019L,3,6.87,22.1
ANX062019L,4,6.3,21.8
ANX062019L,5,5.18,21.7
ANX092419L,0,8.18,20
ANX092419L,1,8.16,19.8
ANX092419L,2,8.14,19.8
ANX092419L,3,8,19.5
ANX092419L,4,7.93,19.4
ANX102219L,0,8.35,7.2
ANX102219L,1,8.4,7.1
ANX102219L,2,8.42,7.1
ANX102219L,3,8.42,7
ANX102219L,4,8.41,7
