fishid,tisuetype,boat,tissue+bag,pin+paper,final tissue + boat,final bag,final pin,final paper
NAR031919001,gonad,,,,,,,
NAR031919002,gonad,,,,,,,
NAR031919003,gonad,,,,,,,
NAR032019001,gonad,,,,,,,
NAR032019002,gonad,,,,,,,
NAR032019003,gonad,,,,,,,
NAR032019004,gonad,,,,,,,
NAR032019005,gonad,,,,,,,
NAR032019006,gonad,,,,,,,
NAR032019007,gonad,,,,,,,
NAR032019008,gonad,,,,,,,
NAR032019009,gonad,,,,,,,
NAR032019010,gonad,,,,,,,
NAR032019011,gonad,,,,,,,
NAR032019012,gonad,,,,,,,
NAR032019013,gonad,,,,,,,
NAR032019014,gonad,,,,,,,
NAR032019015,gonad,,,,,,,
NAR032119001,gonad,,,,,,,
NAR032119002,gonad,,,,,,,
NAR032119003,gonad,,,,,,,
NAR032119004,gonad,,,,,,,
NAR032119005,gonad,,,,,,,
NAR032119006,gonad,,,,,,,
NAR032119007,gonad,,,,,,,
NAR032119008,gonad,,,,,,,
NAR032119009,gonad,,,,,,,
NAR032119010,gonad,,,,,,,
NAR032119011,gonad,,,,,,,
NAR032119012,gonad,,,,,,,
NAR032119013,gonad,,,,,,,
NAR032119014,gonad,,,,,,,
NAR032219001,gonad,,,,,,,
NAR032219002,gonad,,,,,,,
NAR032219003,gonad,,,,,,,
NAR032219004,gonad,,,,,,,
NAR032219005,gonad,,,,,,,
NAR032219006,gonad,,,,,,,
NAR032219007,gonad,,,,,,,
NAR032419001,gonad,,,,,,,
NAR032419002,gonad,,,,,,,
NAR032419003,gonad,,,,,,,
NAR032419004,gonad,,,,,,,
NAR032419005,gonad,,,,,,,
NAR032419006,gonad,,,,,,,
NAR032419007,gonad,,,,,,,
NAR032419008,gonad,,,,,,,
NAR032519001,gonad,,,,,,,
NAR032519002,gonad,,,,,,,
NAR032519003,gonad,,,,,,,
NAR032519004,gonad,,,,,,,
NAR032519005,gonad,,,,,,,
NAR032519006,gonad,,,,,,,
NAR032519007,gonad,,,,,,,
NAR032519008,gonad,,,,,,,
NAR032519009,gonad,,,,,,,
NAR032519010,gonad,,,,,,,
NAR032519011,gonad,,,,,,,
NAR032519012,gonad,,,,,,,
NAR032519013,gonad,,,,,,,
NAR032519014,gonad,,,,,,,
NAR032619001,gonad,,,,,,,
NAR032619002,gonad,,,,,,,
NAR032619003,gonad,,,,,,,
NAR032619004,gonad,,,,,,,
NAR032619005,gonad,,,,,,,
NAR032619006,gonad,,,,,,,
NAR032619007,gonad,,,,,,,
NAR032619008,gonad,,,,,,,
NAR032619009,gonad,,,,,,,
NAR032619010,gonad,,,,,,,
NAR032619011,gonad,,,,,,,
NAR032619012,gonad,,,,,,,
NAR032619013,gonad,,,,,,,
NAR032619014,gonad,,,,,,,
NAR032619015,gonad,,,,,,,
NAR032619016,gonad,,,,,,,
NAR032619017,gonad,,,,,,,
NAR032619018,gonad,,,,,,,
NAR032719001,gonad,,,,,,,
NAR032719002,gonad,,,,,,,
NAR032719003,gonad,,,,,,,
NAR032719004,gonad,,,,,,,
NAR032719005,gonad,,,,,,,
NAR032719006,gonad,,,,,,,
NAR032719007,gonad,,,,,,,
NAR032719008,gonad,,,,,,,
NAR032719009,gonad,,,,,,,
NAR032719010,gonad,,,,,,,
NAR032719011,gonad,,,,,,,
NAR032719012,gonad,,,,,,,
NAR032719013,gonad,,,,,,,
NAR032719014,gonad,,,,,,,
NAR032719015,gonad,,,,,,,
NAR032819001,gonad,,,,,,,
NAR032819002,gonad,,,,,,,
NAR032819003,gonad,,,,,,,
NAR032819004,gonad,,,,,,,
NAR032819005,gonad,,,,,,,
NAR032819006,gonad,,,,,,,
NAR032819007,gonad,,,,,,,
NAR032919001,gonad,,,,,,,
NAR032919002,gonad,,,,,,,
NAR032919003,gonad,,,,,,,
NAR032919004,gonad,,,,,,,
NAR032919005,gonad,,,,,,,
NAR032919006,gonad,,,,,,,
NAR032919007,gonad,,,,,,,
NAR032919008,gonad,,,,,,,
NAR032919009,gonad,,,,,,,
NAR032919010,gonad,,,,,,,
NAR032919011,gonad,,,,,,,
NAR032919012,gonad,,,,,,,
NAR032919013,gonad,,,,,,,
NAR032919014,gonad,,,,,,,
NAR032919015,gonad,,,,,,,
NAR032919016,gonad,,,,,,,
NAR032919017,gonad,,,,,,,
NAR032919018,gonad,,,,,,,
NAR032919019,gonad,,,,,,,
NAR032919020,gonad,,,,,,,
NAR032919021,gonad,,,,,,,
NAR032919022,gonad,,,,,,,
NAR032919023,gonad,,,,,,,
NAR032919024,gonad,,,,,,,
NAR032919025,gonad,,,,,,,
NAR033019001,gonad,,,,,,,
NAR033019002,gonad,,,,,,,
NAR033019003,gonad,,,,,,,
NAR033019004,gonad,,,,,,,
NAR033019005,gonad,,,,,,,
NAR033019006,gonad,,,,,,,
NAR033019007,gonad,,,,,,,
NAR033019008,gonad,,,,,,,
NAR033019009,gonad,,,,,,,
NAR033019010,gonad,,,,,,,
NAR033019011,gonad,,,,,,,
NAR033019012,gonad,,,,,,,
NAR033019013,gonad,,,,,,,
NAR033019014,gonad,,,,,,,
NAR033019015,gonad,,,,,,,
NAR033019016,gonad,,,,,,,
NAR033019017,gonad,,,,,,,
NAR033019018,gonad,,,,,,,
NAR033019019,gonad,,,,,,,
NAR033019020,gonad,,,,,,,
NAR033019021,gonad,,,,,,,
