gearid,waterbody,crew1,crew2,crew3,crew4,crew5,nettype,datetime_set,datetime_lift,time_zone,netduration,utmzone,utmx1,utmy1,utmx2,utmy2,temp,netdepth1,netdepth2,setdirection,meshsizeonshore,habitat,description
GNNAR03162001,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/15/2020 19:00,3/16/2020 8:31,US/Mountain,,12S,709767,4151199,709510,4151194,5.24,1,11.5,perpendicular,large,riprap,
GNNAR03162002,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/15/2020 19:04,3/16/2020 9:13,US/Mountain,,12S,709649,4151152,709694,4151182,4.97,1,4.5,perpendicular,large,riprap,
GNNAR03162003,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/15/2020 19:06,3/16/2020 9:28,US/Mountain,,12S,,,,,4.87,1,13.2,perpendicular,small,riprap,
GNNAR03162004,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/15/2020 19:09,3/16/2020 9:37,US/Mountain,,12S,,,,,4.75,1,8.8,perpendicular,large,riprap,
GNNAR03162005,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/15/2020 19:13,3/16/2020 9:52,US/Mountain,,12S,709255,4151813,709285,4151844,4.68,1,3.5,perpendicular,small,riprap,
GNNAR03162006,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/15/2020 19:17,3/16/2020 10:01,US/Mountain,,12S,709470,4151965,709512,4151917,4.77,1,7.1,perpendicular,large,mud,
GNNAR03162007,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/15/2020 19:20,3/16/2020 10:19,US/Mountain,,12S,709403,4151400,709457,4151402,4.86,1,5.4,perpendicular,small,riprap,
GNNAR03162008,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/15/2020 19:26,3/16/2020 10:33,US/Mountain,,12S,709357,4151462,709355,4151516,4.85,1,8,perpendicular,small,riprap,
GNNAR03162001,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/16/2020 16:18,3/17/2020 8:46,US/Mountain,,12S,709733,4151143,709732,4151195,7.17,1,14,perpendicular,small,riprap,
GNNAR03162002,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/16/2020 16:22,3/17/2020 8:56,US/Mountain,,12S,709677,4151123,709656,4151174,6.29,1,15.8,perpendicular,small,riprap,
GNNAR03162003,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/16/2020 16:25,3/17/2020 9:10,US/Mountain,,12S,709568,4151073,709553,4151122,5.85,1,12.7,perpendicular,small,riprap,
GNNAR03162004,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/16/2020 16:29,3/17/2020 9:19,US/Mountain,,12S,709207,4151165,709269,4151142,5.3,1,5.3,perpendicular,small,riprap,
GNNAR03162005,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/16/2020 16:33,3/17/2020 9:27,US/Mountain,,12S,709638,4151456,709680,4151443,5.7,1,11.2,perpendicular,small,cobble,
GNNAR03162006,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/16/2020 16:37,3/17/2020 9:43,US/Mountain,,12S,709207,4151858,709304,4151846,5.5,1,4,perpendicular,small,riprap,
GNNAR03162007,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/16/2020 16:42,3/17/2020 9:59,US/Mountain,,12S,710380,4151471,710364,4151528,5.45,1,7.6,perpendicular,small,riprap,
GNNAR03162008,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/16/2020 16:45,3/17/2020 10:14,US/Mountain,,12S,710299,4151416,710277,4151479,5.53,1,8.7,perpendicular,small,riprap,
GNNAR03172001,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/17/2020 14:46,3/18/2020 8:53,US/Mountain,,12S,709253,4151834,709311,4151830,5.53,1,13.4,perpendicular,small,riprap,
GNNAR03172002,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/17/2020 14:29,3/18/2020 9:00,US/Mountain,,12S,709656,4151108,709640,4151156,5.19,1,14.8,perpendicular,small,,
GNNAR03172003,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/17/2020 14:33,3/18/2020 9:08,US/Mountain,,12S,709395,4151018,709403,4151077,5.05,1,8.5,perpendicular,small,riprap,
GNNAR03172004,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/17/2020 14:35,3/18/2020,US/Mountain,,12S,709221,4151199,709253,4151164,4.97,1,3.9,perpendicular,small,riprap,
GNNAR03172005,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/17/2020 14:41,3/18/2020,US/Mountain,,12S,709630,4151441,709676,4151395,4.95,1,13,perpendicular,small,cobble,
GNNAR03172006,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/17/2020 14:46,3/18/2020 9:44,US/Mountain,,12S,709253,4151834,709311,4151830,5.12,1,4.9,perpendicular,small,,
GNNAR03172007,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/17/2020 14:56,3/18/2020 9:56,US/Mountain,,12S,709347,4151613,709301,4151263,5.04,1.5,1.5,perpendicular,small,reeds,
GNNAR03172008,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/17/2020,3/18/2020 10:19,US/Mountain,,12S,710109,4151333,710094,4151394,5.07,2,,perpendicular,small,riprap,
GNNAR03182001,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/18/2020 13:40,3/19/2020 8:43,US/Mountain,,12S,709833,4151186,709835,4151186,6.33,1.5,18,perpendicular,small,riprap/cobble/mud,
GNNAR03182002,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/18/2020 13:43,3/19/2020 8:50,US/Mountain,,12S,709324,4151016,709338,4151075,5.56,2,6.7,perpendicular,small,riprap,
GNNAR03182003,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/18/2020 13:45,3/19/2020 8:57,US/Mountain,,12S,709202,4151140,709224,4151194,5.22,3.5,2.9,parallel,small,riprap,
GNNAR03182004,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/18/2020 13:48,3/19/2020 9:08,US/Mountain,,12S,709426,4151299,709447,4151246,5.22,1,6.6,perpendicular,small,mud,
GNNAR03182005,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/18/2020 13:50,3/19/2020,US/Mountain,,12S,709622,4151430,709611,4151382,5.24,2.5,7.8,perpendicular,small,reedy riprap,
GNNAR03182006,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/18/2020 13:54,3/19/2020 9:37,US/Mountain,,12S,709416,4152442,709402,4152383,5.43,4,3,parallel,small,riprap,
GNNAR03182007,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/18/2020 13:57,3/19/2020 9:49,US/Mountain,,12S,709649,4152584,709593,4152584,5.61,2.5,4.7,perpendicular,small,reedy riprap,
GNNAR03182008,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/18/2020 14:02,3/19/2020 10:18,US/Mountain,,12S,710025,4151330,710022,4151353,5.25,3.2,13.5,perpendicular,small,reedy riprap,
GNNAR03192001,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/19/2020 14:49,3/20/2020 8:44,US/Mountain,,12S,709665,4151109,709711,4151132,4.57,3.4,3.9,parallel,small,riprap,
GNNAR03192002,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/19/2020 14:52,3/20/2020 8:55,US/Mountain,,12S,709210,4151168,709189,4151117,4.7,3.6,3,parallel,small,riprap,
GNNAR03192003,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/19/2020 14:55,3/20/2020 9:01,US/Mountain,,12S,709613,4151436,709637,4151486,4.7,1.7,3.6,parallel,small,reedy cobble ,
GNNAR03192004,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/19/2020 14:58,3/20/2020 9:10,US/Mountain,,12S,709297,4151845,709262,4151801,4.83,3.2,2.4,perpendicular,small,riprap,
GNNAR03192005,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/19/2020 15:02,3/20/2020 9:27,US/Mountain,,12S,709410,4152424,709397,4152371,4.96,3.5,2.7,parallel,small,riprap,
GNNAR03192006,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/19/2020 15:05,3/20/2020 9:40,US/Mountain,,12S,709918,4152578,709864,4152568,4.98,3.1,2.9,perpendicular,small,reeds,
GNNAR03192007,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/19/2020 15:13,3/20/2020 9:57,US/Mountain,,12S,710290,4151515,710333,4151450,5.23,3.7,4,parallel,small,forested cobble,
GNNAR03192008,NAR,CJF,AH,JRS,LEL,NA,FWIN,3/19/2020 15:16,3/20/2020,US/Mountain,,12S,710090,4151341,710132,4151348,5.32,6.2,3.2,parallel,small,reeds/riprap,
